rep	time	treatment	embryo	endosperm	ratio
rep7	70	dark	1.77	3.34	0.53
rep8	70	dark	2.12	3.53	0.60
rep9	70	dark	1.64	3.58	0.46
rep10	70	dark	2.07	3.43	0.60
rep1	84	m-2.5C	0.78	2.93	0.27
rep2	84	m-2.5C	0.62	3.39	0.18
rep3	84	m-2.5C	0.81	3.25	0.25
rep4	84	m-2.5C	0.45	2.70	0.17
rep5	84	m-2.5C	0.35	3.05	0.11
rep6	84	m-2.5C	0.90	4.25	0.21
rep7	84	m-2.5C	0.54	2.87	0.19
rep8	84	m-2.5C	0.39	3.85	0.10
rep9	84	m-2.5C	0.86	4.23	0.20
rep10	84	m-2.5C	0.82	3.46	0.24
rep1	84	0C	2.74	4.10	0.67
rep2	84	0C	1.42	2.53	0.56
rep3	84	0C	1.84	3.38	0.54
rep4	84	0C	1.72	3.07	0.56
rep5	84	0C	1.89	3.21	0.59
rep6	84	0C	1.61	3.66	0.44
rep7	84	0C	1.78	3.50	0.51
rep8	84	0C	1.54	3.35	0.46
rep9	84	0C	1.80	3.34	0.54
rep10	84	0C	1.79	2.97	0.60
rep1	84	2.5C	2.16	3.35	0.64
rep2	84	2.5C	2.70	3.18	0.85
rep3	84	2.5C	1.63	3.27	0.50
rep4	84	2.5C	2.67	3.28	0.81
rep5	84	2.5C	1.97	3.61	0.55
rep6	84	2.5C	2.21	3.44	0.64
rep7	84	2.5C	1.64	3.54	0.46
rep8	84	2.5C	2.15	3.13	0.69
rep9	84	2.5C	2.29	3.02	0.76
rep10	84	2.5C	1.55	3.18	0.49
rep1	84	5C	2.04	2.85	0.72
rep2	84	5C	2.65	3.21	0.83
rep3	84	5C	1.68	3.92	0.43
rep4	84	5C	2.30	4.39	0.52
rep5	84	5C	2.92	3.89	0.75
rep6	84	5C	2.62	3.28	0.80
rep7	84	5C	3.28	3.89	0.84
rep8	84	5C	2.35	3.65	0.64
rep9	84	5C	2.00	3.05	0.66
rep10	84	5C	2.79	3.28	0.85
rep1	84	7.5C	0.83	3.16	0.26
rep2	84	7.5C	1.17	3.99	0.29
rep3	84	7.5C	1.37	3.40	0.40
rep4	84	7.5C	1.39	3.25	0.43
rep5	84	7.5C	1.27	3.38	0.38
rep6	84	7.5C	2.74	3.32	0.83
rep7	84	7.5C	0.84	3.39	0.25
rep8	84	7.5C	0.63	3.87	0.16
rep9	84	7.5C	2.01	3.02	0.67
rep10	84	7.5C	1.07	3.50	0.31
rep1	84	10C	1.67	4.09	0.41
rep2	84	10C	0.96	3.12	0.31
rep3	84	10C	1.17	4.10	0.29
rep4	84	10C	0.94	3.98	0.24
rep5	84	10C	0.64	3.42	0.19
rep6	84	10C	2.14	3.34	0.64
rep7	84	10C	0.96	3.70	0.26
rep8	84	10C	0.84	3.41	0.25
rep9	84	10C	0.72	4.11	0.18
rep10	84	10C	0.53	3.81	0.14
rep1	84	dark	1.62	3.98	0.41
rep2	84	dark	2.64	3.34	0.79
rep3	84	dark	1.12	3.19	0.35
rep4	84	dark	2.03	3.15	0.64
rep5	84	dark	2.87	3.81	0.75
rep6	84	dark	0.79	3.53	0.22
rep7	84	dark	1.72	3.58	0.48
rep8	84	dark	1.21	3.38	0.36
rep9	84	dark	2.51	3.43	0.73
rep10	84	dark	2.36	3.28	0.72
rep1	98	m-2.5C	1.14	3.66	0.31
rep2	98	m-2.5C	0.85	3.21	0.26
rep3	98	m-2.5C	0.40	3.22	0.12
rep4	98	m-2.5C	0.59	3.33	0.18
rep5	98	m-2.5C	0.79	2.93	0.27
rep6	98	m-2.5C	0.68	2.79	0.24
rep7	98	m-2.5C	1.75	3.54	0.49
rep8	98	m-2.5C	0.66	3.80	0.17
rep9	98	m-2.5C	1.41	3.31	0.43
rep10	98	m-2.5C	1.76	3.25	0.54
rep1	98	0C	2.67	4.60	0.58
rep2	98	0C	2.31	3.90	0.59
rep3	98	0C	1.73	3.10	0.56
rep4	98	0C	2.06	3.43	0.60
rep5	98	0C	1.72	3.58	0.48
rep6	98	0C	1.91	3.36	0.57
rep7	98	0C	1.11	3.39	0.33
rep8	98	0C	3.05	3.68	0.83
rep9	98	0C	2.90	3.28	0.88
rep10	98	0C	1.58	3.33	0.47
rep1	98	2.5C	2.88	3.67	0.78
rep2	98	2.5C	3.17	3.49	0.91
rep3	98	2.5C	3.20	4.81	0.67
rep4	98	2.5C	2.32	3.67	0.63
rep5	98	2.5C	2.97	3.12	0.95
rep6	98	2.5C	2.65	3.28	0.81
rep7	98	2.5C	3.20	3.57	0.90
rep8	98	2.5C	2.59	3.50	0.74
rep9	98	2.5C	3.00	3.75	0.80
rep10	98	2.5C	1.92	3.01	0.64
rep1	98	5C	2.79	3.60	0.78
rep2	98	5C	2.76	3.07	0.90
rep3	98	5C	3.14	3.73	0.84
rep4	98	5C	3.15	3.30	0.95
rep5	98	5C	3.05	3.59	0.85
rep6	98	5C	2.37	3.50	0.68
rep7	98	5C	2.30	3.61	0.64
rep8	98	5C	2.52	2.91	0.87
rep9	98	5C	1.93	3.75	0.51
rep10	98	5C	2.49	2.89	0.86
rep1	98	7.5C	1.80	3.05	0.59
rep2	98	7.5C	0.74	3.50	0.21
rep3	98	7.5C	1.13	3.29	0.34
rep4	98	7.5C	1.17	3.40	0.34
rep5	98	7.5C	1.73	3.28	0.53
rep6	98	7.5C	2.00	3.83	0.52
rep7	98	7.5C	1.67	3.56	0.47
rep8	98	7.5C	1.42	3.51	0.40
rep9	98	7.5C	1.45	3.12	0.46
rep10	98	7.5C	1.41	3.37	0.42
rep1	98	10C	0.99	3.74	0.26
rep2	98	10C	0.99	3.57	0.28
rep3	98	10C	1.22	3.10	0.39
