rep	time	treatment	embryo	endosperm	ratio
rep10	70	m2.5C	0.27	3.98	0.067839196
rep1	70	0C	0.87	3.58	0.24301676
rep2	70	0C	0.65	3.73	0.174262735
rep3	70	0C	0.43	2.78	0.154676259
rep4	70	0C	0.4	2.74	0.145985401
rep5	70	0C	0.62	2.6	0.238461538
rep6	70	0C	0.59	3.68	0.160326087
rep7	70	0C	0.61	3.79	0.160949868
rep8	70	0C	0.48	2.46	0.195121951
rep9	70	0C	0.51	3.25	0.156923077
rep10	70	0C	0.67	3.31	0.202416918
rep1	70	2.5C	1.28	3.35	0.382089552
rep2	70	2.5C	1.37	3.29	0.416413374
rep3	70	2.5C	1.13	3.39	0.333333333
rep4	70	2.5C	1.17	4.08	0.286764706
rep5	70	2.5C	0.88	3.66	0.240437158
rep6	70	2.5C	1.83	3.29	0.556231003
rep7	70	2.5C	1.58	3.83	0.412532637
rep8	70	2.5C	1.03	3.44	0.299418605
rep9	70	2.5C	0.73	2.87	0.254355401
rep10	70	2.5C	1.28	2.95	0.433898305
rep1	70	5C	1.42	2.94	0.482993197
rep2	70	5C	1.13	2.78	0.40647482
rep3	70	5C	1.44	3.8	0.378947368
rep4	70	5C	0.95	3.84	0.247395833
rep5	70	5C	1.07	4.45	0.240449438
rep6	70	5C	1.09	3.73	0.292225201
rep7	70	5C	1.79	3.15	0.568253968
rep8	70	5C	1.3	2.91	0.446735395
rep9	70	5C	1.34	2.68	0.5
rep10	70	5C	1.05	3.83	0.274151436
rep1	70	7.5C	0.67	2.88	0.232638889
rep2	70	7.5C	1.15	3.99	0.288220551
rep3	70	7.5C	0.77	3.05	0.252459016
rep4	70	7.5C	1.35	3.01	0.448504983
rep5	70	7.5C	0.72	3.33	0.216216216
rep6	70	7.5C	1.89	3.45	0.547826087
rep7	70	7.5C	1.08	4.08	0.264705882
rep8	70	7.5C	1.34	3.67	0.365122616
rep9	70	7.5C	0.65	3.83	0.169712794
rep10	70	7.5C	0.81	3.22	0.251552795
rep1	70	10C	0.88	3.96	0.222222222
rep2	70	10C	1	4.03	0.248138958
rep3	70	10C	0.57	2.86	0.199300699
rep4	70	10C	0.89	3.9	0.228205128
rep5	70	10C	0.74	4.39	0.16856492
rep6	70	10C	0.85	3.53	0.240793201
rep7	70	10C	0.63	3.75	0.168
rep8	70	10C	0.88	3.49	0.252148997
rep9	70	10C	0.66	3.7	0.178378378
rep10	70	10C	0.54	2.85	0.189473684
rep1	70	dark	1.08	3.87	0.279069767
rep2	70	dark	1.48	3.25	0.455384615
rep3	70	dark	1.93	3.7	0.521621622
rep4	70	dark	1.76	3.41	0.516129032
rep5	70	dark	1.57	3.65	0.430136986
rep6	70	dark	0.99	3.49	0.283667622
rep7	70	dark	1.48	3.91	0.378516624
rep8	70	dark	0.77	3.92	0.196428571
rep9	70	dark	1.22	2.91	0.419243986
rep10	70	dark	0.43	3.33	0.129129129
rep1	84	m2.5C	0.52	3.54	0.146892655
rep2	84	m2.5C	0.46	3.98	0.115577889
rep3	84	m2.5C	0.33	3.66	0.090163934
rep4	84	m2.5C	0.48	3.72	0.129032258
rep5	84	m2.5C	0.37	3.69	0.100271003
rep6	84	m2.5C	0.37	4.09	0.090464548
rep7	84	m2.5C	0.25	3.04	0.082236842
rep8	84	m2.5C	0.4	3.52	0.113636364
rep9	84	m2.5C	0.27	3.53	0.076487252
rep10	84	m2.5C	0.21	3.35	0.062686567
rep1	84	0C	0.72	3.8	0.189473684
rep2	84	0C	0.56	3.59	0.155988858
rep3	84	0C	0.85	2.67	0.31835206
rep4	84	0C	0.83	2.98	0.27852349
rep5	84	0C	1.1	3.29	0.334346505
rep6	84	0C	0.68	2.59	0.262548263
rep7	84	0C	0.99	3.19	0.310344828
rep8	84	0C	0.65	3.27	0.198776758
rep9	84	0C	0.42	3.81	0.11023622
rep10	84	0C	1.24	3.72	0.333333333
rep1	84	2.5C	0.86	3.75	0.229333333
rep2	84	2.5C	1.9	3.66	0.519125683
rep3	84	2.5C	1.48	3.77	0.392572944
